书院国内实践决算表,书院国内实践决算表,书院国内实践决算表,书院国内实践决算表,书院国内实践决算表,书院国内实践决算表,书院国内实践决算表
填报单位：,填报单位：,填报单位：,填报人：,填报人：,填报人联系方式：,填报人联系方式：
支队名称：,支队名称：,支队名称：,支队名称：,支队名称：,填报日期：     年  月  日,填报日期：     年  月  日
一、行程说明及特殊情况说明：,一、行程说明及特殊情况说明：,一、行程说明及特殊情况说明：,一、行程说明及特殊情况说明：,一、行程说明及特殊情况说明：,一、行程说明及特殊情况说明：,一、行程说明及特殊情况说明：
"实践地【         】     实践起止时间【       】-【          】

二、支队员行程：
1、姓名，（出发时间）从（出发地）前往（实践地），交通及票据情况；实践地共几天，住宿情况及费用说明；（返程时间）回到（目的地）交通及票据情况。 
2、
3、
4、
5、
6、
7、
注：支队员如有特殊情况，请详细说明，例：
未产生差旅费——本支队李佳，由于父母开车送来实践基地原因，__2023__年_6_月_26_日至__2023__年_7_月_14_日，前往__陇南___此段未产生差旅费用，造成行程不闭合的情况。
行程不闭合——张明，由于（寒暑假返回家乡/从上一实践地出发等）原因，造成行程不闭合的情况，实践行程为陇南至遵义。
退改签——杨亦，因______原因，产生（改签/退票）费用 元，现申请报销。
无住宿情况——本支队/某支队员，于____年__月__日至____年__月__日在_____出差期间发生的住宿费已由_________承担/住在其他地点不产生住宿费，现申请报销其他费用。

校财务最新通知： 
如购买机票经济舱，需要与高铁二等座比价，取低报销。
出发地（返回地）为家乡的，需参考北京往返实践地的高铁二等座票价，取低报销，并附相应截图。

三、特殊情况说明： （租车、物品购买等）

实践地租车必要性说明
本支队__ ____等__人，由于__________原因产生_________ 费用，总计__元，现申请报销。","实践地【         】     实践起止时间【       】-【          】

二、支队员行程：
1、姓名，（出发时间）从（出发地）前往（实践地），交通及票据情况；实践地共几天，住宿情况及费用说明；（返程时间）回到（目的地）交通及票据情况。 
2、
3、
4、
5、
6、
7、
注：支队员如有特殊情况，请详细说明，例：
未产生差旅费——本支队李佳，由于父母开车送来实践基地原因，__2023__年_6_月_26_日至__2023__年_7_月_14_日，前往__陇南___此段未产生差旅费用，造成行程不闭合的情况。
行程不闭合——张明，由于（寒暑假返回家乡/从上一实践地出发等）原因，造成行程不闭合的情况，实践行程为陇南至遵义。
退改签——杨亦，因______原因，产生（改签/退票）费用 元，现申请报销。
无住宿情况——本支队/某支队员，于____年__月__日至____年__月__日在_____出差期间发生的住宿费已由_________承担/住在其他地点不产生住宿费，现申请报销其他费用。

校财务最新通知： 
如购买机票经济舱，需要与高铁二等座比价，取低报销。
出发地（返回地）为家乡的，需参考北京往返实践地的高铁二等座票价，取低报销，并附相应截图。

三、特殊情况说明： （租车、物品购买等）

实践地租车必要性说明
本支队__ ____等__人，由于__________原因产生_________ 费用，总计__元，现申请报销。","实践地【         】     实践起止时间【       】-【          】

二、支队员行程：
1、姓名，（出发时间）从（出发地）前往（实践地），交通及票据情况；实践地共几天，住宿情况及费用说明；（返程时间）回到（目的地）交通及票据情况。 
2、
3、
4、
5、
6、
7、
注：支队员如有特殊情况，请详细说明，例：
未产生差旅费——本支队李佳，由于父母开车送来实践基地原因，__2023__年_6_月_26_日至__2023__年_7_月_14_日，前往__陇南___此段未产生差旅费用，造成行程不闭合的情况。
行程不闭合——张明，由于（寒暑假返回家乡/从上一实践地出发等）原因，造成行程不闭合的情况，实践行程为陇南至遵义。
退改签——杨亦，因______原因，产生（改签/退票）费用 元，现申请报销。
无住宿情况——本支队/某支队员，于____年__月__日至____年__月__日在_____出差期间发生的住宿费已由_________承担/住在其他地点不产生住宿费，现申请报销其他费用。

校财务最新通知： 
如购买机票经济舱，需要与高铁二等座比价，取低报销。
出发地（返回地）为家乡的，需参考北京往返实践地的高铁二等座票价，取低报销，并附相应截图。

三、特殊情况说明： （租车、物品购买等）

实践地租车必要性说明
本支队__ ____等__人，由于__________原因产生_________ 费用，总计__元，现申请报销。","实践地【         】     实践起止时间【       】-【          】

二、支队员行程：
1、姓名，（出发时间）从（出发地）前往（实践地），交通及票据情况；实践地共几天，住宿情况及费用说明；（返程时间）回到（目的地）交通及票据情况。 
2、
3、
4、
5、
6、
7、
注：支队员如有特殊情况，请详细说明，例：
未产生差旅费——本支队李佳，由于父母开车送来实践基地原因，__2023__年_6_月_26_日至__2023__年_7_月_14_日，前往__陇南___此段未产生差旅费用，造成行程不闭合的情况。
行程不闭合——张明，由于（寒暑假返回家乡/从上一实践地出发等）原因，造成行程不闭合的情况，实践行程为陇南至遵义。
退改签——杨亦，因______原因，产生（改签/退票）费用 元，现申请报销。
无住宿情况——本支队/某支队员，于____年__月__日至____年__月__日在_____出差期间发生的住宿费已由_________承担/住在其他地点不产生住宿费，现申请报销其他费用。

校财务最新通知： 
如购买机票经济舱，需要与高铁二等座比价，取低报销。
出发地（返回地）为家乡的，需参考北京往返实践地的高铁二等座票价，取低报销，并附相应截图。

三、特殊情况说明： （租车、物品购买等）

实践地租车必要性说明
本支队__ ____等__人，由于__________原因产生_________ 费用，总计__元，现申请报销。","实践地【         】     实践起止时间【       】-【          】

二、支队员行程：
1、姓名，（出发时间）从（出发地）前往（实践地），交通及票据情况；实践地共几天，住宿情况及费用说明；（返程时间）回到（目的地）交通及票据情况。 
2、
3、
4、
5、
6、
7、
注：支队员如有特殊情况，请详细说明，例：
未产生差旅费——本支队李佳，由于父母开车送来实践基地原因，__2023__年_6_月_26_日至__2023__年_7_月_14_日，前往__陇南___此段未产生差旅费用，造成行程不闭合的情况。
行程不闭合——张明，由于（寒暑假返回家乡/从上一实践地出发等）原因，造成行程不闭合的情况，实践行程为陇南至遵义。
退改签——杨亦，因______原因，产生（改签/退票）费用 元，现申请报销。
无住宿情况——本支队/某支队员，于____年__月__日至____年__月__日在_____出差期间发生的住宿费已由_________承担/住在其他地点不产生住宿费，现申请报销其他费用。

校财务最新通知： 
如购买机票经济舱，需要与高铁二等座比价，取低报销。
出发地（返回地）为家乡的，需参考北京往返实践地的高铁二等座票价，取低报销，并附相应截图。

三、特殊情况说明： （租车、物品购买等）

实践地租车必要性说明
本支队__ ____等__人，由于__________原因产生_________ 费用，总计__元，现申请报销。","实践地【         】     实践起止时间【       】-【          】

二、支队员行程：
1、姓名，（出发时间）从（出发地）前往（实践地），交通及票据情况；实践地共几天，住宿情况及费用说明；（返程时间）回到（目的地）交通及票据情况。 
2、
3、
4、
5、
6、
7、
注：支队员如有特殊情况，请详细说明，例：
未产生差旅费——本支队李佳，由于父母开车送来实践基地原因，__2023__年_6_月_26_日至__2023__年_7_月_14_日，前往__陇南___此段未产生差旅费用，造成行程不闭合的情况。
行程不闭合——张明，由于（寒暑假返回家乡/从上一实践地出发等）原因，造成行程不闭合的情况，实践行程为陇南至遵义。
退改签——杨亦，因______原因，产生（改签/退票）费用 元，现申请报销。
无住宿情况——本支队/某支队员，于____年__月__日至____年__月__日在_____出差期间发生的住宿费已由_________承担/住在其他地点不产生住宿费，现申请报销其他费用。

校财务最新通知： 
如购买机票经济舱，需要与高铁二等座比价，取低报销。
出发地（返回地）为家乡的，需参考北京往返实践地的高铁二等座票价，取低报销，并附相应截图。

三、特殊情况说明： （租车、物品购买等）

实践地租车必要性说明
本支队__ ____等__人，由于__________原因产生_________ 费用，总计__元，现申请报销。","实践地【         】     实践起止时间【       】-【          】

二、支队员行程：
1、姓名，（出发时间）从（出发地）前往（实践地），交通及票据情况；实践地共几天，住宿情况及费用说明；（返程时间）回到（目的地）交通及票据情况。 
2、
3、
4、
5、
6、
7、
注：支队员如有特殊情况，请详细说明，例：
未产生差旅费——本支队李佳，由于父母开车送来实践基地原因，__2023__年_6_月_26_日至__2023__年_7_月_14_日，前往__陇南___此段未产生差旅费用，造成行程不闭合的情况。
行程不闭合——张明，由于（寒暑假返回家乡/从上一实践地出发等）原因，造成行程不闭合的情况，实践行程为陇南至遵义。
退改签——杨亦，因______原因，产生（改签/退票）费用 元，现申请报销。
无住宿情况——本支队/某支队员，于____年__月__日至____年__月__日在_____出差期间发生的住宿费已由_________承担/住在其他地点不产生住宿费，现申请报销其他费用。

校财务最新通知： 
如购买机票经济舱，需要与高铁二等座比价，取低报销。
出发地（返回地）为家乡的，需参考北京往返实践地的高铁二等座票价，取低报销，并附相应截图。

三、特殊情况说明： （租车、物品购买等）

实践地租车必要性说明
本支队__ ____等__人，由于__________原因产生_________ 费用，总计__元，现申请报销。"
一、资金来源,一、资金来源,决算金额（元）,决算金额（元）,决算金额（元）,决算金额（元）,备注
1.书院学生活动经费,1.书院学生活动经费,,,,,
2.团委经费（须在备注项目名）,2.团委经费（须在备注项目名）,,,,,
3.其他（须在备注栏注明）,3.其他（须在备注栏注明）,,,,,
合    计（以上三项）,合    计（以上三项）,,,,,
二、支出类别,支出金额,"计算方式
（详细支出）","计算方式
（详细支出）","计算方式
（详细支出）","计算方式
（详细支出）",收款人
